"keys","de","en_GB","en_IN","en_US","es_ES","es_LA","fr","it","ja","ko","pt_BR","pt_PT","ru","zh_Hans","zh_Hant"
"TOOLTIP_BRIGHTNESS_DESC","Passt die allgemeine Helligkeit des Spiels an.","Adjusts the overall luminosity of the game.","Adjusts the overall luminosity of the game.","Adjusts the overall luminosity of the game.","Ajusta la luminosidad general del juego.","","Ajuste la luminosité générale du jeu.","Regola la luminosità generale del gioco.","ゲーム全体の明るさを調整します。","게임의 전반적인 밝기를 조정합니다.","Ajusta a luminosidade geral do jogo.","Ajusta a luminosidade geral do jogo.","Регулирует общую яркость игры.","调整游戏整体亮度。","調整遊戲整體亮度。"
"TOOLTIP_BRIGHTNESS_TITLE","Helligkeit","Brightness","Brightness","Brightness","Brillo","","Luminosité","Luminosità","明るさ","밝기","Brilho","Brilho","Яркость","亮度","亮度"
"TOOLTIP_COLORBLIND_MODE_DESC","Wendet einen Farbfilter für Farbenblindheit an (Protanopie, Deuteranopie, Tritanopie).","Applies a colour filter for colourblindness (Protanopia, Deuteranopia, Tritanopia).","Applies a color filter for colorblindness (Protanopia, Deuteranopia, Tritanopia).","Applies a color filter for colorblindness (Protanopia, Deuteranopia, Tritanopia).","Aplica un filtro de color para daltonismo (Protanopia, Deuteranopia, Tritanopia).","","Applique un filtre de couleur pour le daltonisme (Protanopie, Deutéranopie, Tritanopie).","Applica un filtro colore per il daltonismo (Protanopia, Deuteranopia, Tritanopia).","色覚異常（第一色覚異常、第二色覚異常、第三色覚異常）のカラーフィルターを適用します。","색맹 (적색맹, 녹색맹, 청색맹)을 위한 색상 필터를 적용합니다.","Aplica um filtro de cor para daltonismo (Protanopia, Deuteranopia, Tritanopia).","Aplica um filtro de cor para daltonismo (Protanopia, Deuteranopia, Tritanopia).","Применяет цветовой фильтр для дальтоников (протанопия, дейтеранопия, тританопия).","应用色盲滤镜（红色盲、绿色盲、蓝色盲）。","應用色盲濾鏡（紅色盲、綠色盲、藍色盲）。"
"TOOLTIP_COLORBLIND_MODE_TITLE","Farbenblind-Modus","Colourblind Mode","Colorblind Mode","Colorblind Mode","Modo Daltónico","","Mode Daltonien","Modalità Daltonici","色覚異常モード","색맹 모드","Modo Daltônico","Modo Daltónico","Режим для дальтоников","色盲模式","色盲模式"
"TOOLTIP_CONTRAST_DESC","Passt den Unterschied zwischen hellen und dunklen Bereichen an.","Adjusts the difference between light and dark areas.","Adjusts the difference between light and dark areas.","Adjusts the difference between light and dark areas.","Ajusta la diferencia entre áreas claras y oscuras.","","Ajuste la différence entre les zones claires et sombres.","Regola la differenza tra aree chiare e scure.","明るい領域と暗い領域の差を調整します。","밝은 영역과 어두운 영역의 차이를 조정합니다.","Ajusta a diferença entre áreas claras e escuras.","Ajusta a diferença entre áreas claras e escuras.","Регулирует разницу между светлыми и темными областями.","调整亮区和暗区之间的差异。","調整亮區和暗區之間的差異。"
"TOOLTIP_CONTRAST_TITLE","Kontrast","Contrast","Contrast","Contrast","Contraste","","Contraste","Contrasto","コントラスト","대비","Contraste","Contraste","Контраст","对比度","對比度"
"TOOLTIP_DYNAMIC_RENDER_SCALE_DESC","Passt die Render-Auflösung dynamisch an, um die Leistung zu verbessern.","Dynamically adjusts rendering resolution for better performance.","Dynamically adjusts rendering resolution for better performance.","Dynamically adjusts rendering resolution for better performance.","Ajusta dinámicamente la resolución de renderizado para un mejor rendimiento.","","Ajuste dynamiquement la résolution de rendu pour de meilleures performances.","Regola dinamicamente la risoluzione di rendering per migliori prestazioni.","パフォーマンス向上のため、レンダリング解像度を動的に調整します。","더 나은 성능을 위해 렌더링 해상도를 동적으로 조정합니다.","Ajusta dinamicamente a resolução de renderização para melhor desempenho.","Ajusta dinamicamente a resolução de renderização para melhor desempenho.","Динамически регулирует разрешение рендеринга для повышения производительности.","动态调整渲染分辨率以获得更好的性能。","動態調整渲染解析度以獲得更好的效能。"
"TOOLTIP_DYNAMIC_RENDER_SCALE_TITLE","Dynamische Render-Skalierung","Dynamic Render Scale","Dynamic Render Scale","Dynamic Render Scale","Escala de Renderizado Dinámico","","Échelle de Rendu Dynamique","Scala di Rendering Dinamica","動的レンダースケール","동적 렌더링 스케일","Escala de Renderização Dinâmica","Escala de Renderização Dinâmica","Динамическое масштабирование рендеринга","动态渲染缩放","動態渲染縮放"
"TOOLTIP_EFFECTS_QUALITY_DESC","Definiert die visuelle Qualität der Spezialeffekte.","Defines the visual quality of special effects.","Defines the visual quality of special effects.","Defines the visual quality of special effects.","Define la calidad visual de los efectos especiales.","","Définit la qualité visuelle des effets spéciaux.","Definisce la qualità visiva degli effetti speciali.","特殊効果の視覚品質を定義します。","특수 효과의 시각적 품질을 정의합니다.","Define a qualidade visual dos efeitos especiais.","Define a qualidade visual dos efeitos especiais.","Определяет визуальное качество спецэффектов.","定义特殊效果的视觉质量。","定義特殊效果的視覺品質。"
"TOOLTIP_EFFECTS_QUALITY_TITLE","Effektqualität","Effects Quality","Effects Quality","Effects Quality","Calidad de Efectos","","Qualité des Effets","Qualità Effetti","エフェクト品質","효과 품질","Qualidade dos Efeitos","Qualidade dos Efeitos","Качество эффектов","效果质量","效果品質"
"TOOLTIP_FRAME_RATE_LIMIT_DESC","Legt die maximale Anzahl der Bilder pro Sekunde fest, die das Spiel rendern wird.","Sets the maximum frames per second the game will render.","Sets the maximum frames per second the game will render.","Sets the maximum frames per second the game will render.","Define el máximo de cuadros por segundo que el juego renderizará.","","Définit le maximum d'images par seconde que le jeu rendra.","Imposta il massimo di fotogrammi al secondo che il gioco renderizzerà.","ゲームがレンダリングする1秒あたりの最大フレーム数を設定します。","게임이 렌더링할 초당 최대 프레임 수를 설정합니다.","Define o máximo de quadros por segundo que o jogo irá renderizar.","Define o máximo de quadros por segundo que o jogo irá renderizar.","Устанавливает максимальное количество кадров в секунду, которое будет рендерить игра.","设置游戏每秒渲染的最大帧数。","設定遊戲每秒渲染的最大幀數。"
"TOOLTIP_FRAME_RATE_LIMIT_TITLE","Bildratenbegrenzung","Frame Rate Limit","Frame Rate Limit","Frame Rate Limit","Límite de Tasa de Cuadros","","Limite de Fréquence d'Images","Limite Frequenza Fotogrammi","フレームレート制限","프레임 속도 제한","Limite de Taxa de Quadros","Limite de Taxa de Quadros","Ограничение частоты кадров","帧率限制","幀率限制"
"TOOLTIP_GAMMA_CORRECTION_DESC","Passt die allgemeine Helligkeit und den Kontrast der Spielgrafik an.","Adjusts the overall brightness and contrast of the game visuals.","Adjusts the overall brightness and contrast of the game visuals.","Adjusts the overall brightness and contrast of the game visuals.","Ajusta el brillo y contraste general de los visuales del juego.","","Ajuste la luminosité et le contraste général des visuels du jeu.","Regola la luminosità e il contrasto generale della grafica del gioco.","ゲームのビジュアル全体の明るさとコントラストを調整します。","게임 비주얼의 전반적인 밝기와 대비를 조정합니다.","Ajusta o brilho e contraste geral dos visuais do jogo.","Ajusta o brilho e contraste geral dos visuais do jogo.","Регулирует общую яркость и контрастность графики игры.","调整游戏视觉效果的整体亮度和对比度。","調整遊戲視覺效果的整體亮度和對比度。"
"TOOLTIP_GAMMA_CORRECTION_TITLE","Gammakorrektur","Gamma Correction","Gamma Correction","Gamma Correction","Corrección Gamma","","Correction Gamma","Correzione Gamma","ガンマ補正","감마 보정","Correção Gama","Correção Gama","Гамма-коррекция","伽马校正","伽瑪校正"
"TOOLTIP_MASTER_VOLUME_DESC","Steuert die Gesamtlautstärke des Spiels.","Controls the overall game volume.","Controls the overall game volume.","Controls the overall game volume.","Controla el volumen general del juego.","","Contrôle le volume général du jeu.","Controlla il volume generale del gioco.","ゲーム全体の音量を制御します。","전반적인 게임 볼륨을 제어합니다.","Controla o volume geral do jogo.","Controla o volume geral do jogo.","Контролирует общую громкость игры.","控制游戏整体音量。","控制遊戲整體音量。"
"TOOLTIP_MASTER_VOLUME_TITLE","Gesamtlautstärke","Master Volume","Master Volume","Master Volume","Volumen General","","Volume Général","Volume Generale","マスターボリューム","마스터 볼륨","Volume Geral","Volume Geral","Общая громкость","主音量","主音量"
"TOOLTIP_MAX_FRAME_RATE_DESC","Legt die spezifische maximale Bildrate fest, wenn die benutzerdefinierte Begrenzung aktiviert ist.","Sets the specific maximum frame rate when custom limit is enabled.","Sets the specific maximum frame rate when custom limit is enabled.","Sets the specific maximum frame rate when custom limit is enabled.","Define la tasa máxima de cuadros específica cuando el límite personalizado está activado.","","Définit la fréquence d'images maximale spécifique lorsque la limite personnalisée est activée.","Imposta la frequenza fotogrammi massima specifica quando il limite personalizzato è attivo.","カスタム制限が有効な場合、特定の最大フレームレートを設定します。","사용자 지정 제한이 활성화된 경우 특정 최대 프레임 속도를 설정합니다.","Define a taxa máxima de quadros específica quando o limite personalizado está ativado.","Define a taxa máxima de quadros específica quando o limite personalizado está ativado.","Устанавливает конкретную максимальную частоту кадров, когда включено пользовательское ограничение.","当自定义限制启用时，设置特定的最大帧率。","當自訂限制啟用時，設定特定的最大幀率。"
"TOOLTIP_MAX_FRAME_RATE_TITLE","Maximale Bildrate","Max Frame Rate","Max Frame Rate","Max Frame Rate","Tasa Máxima de Cuadros","","Fréquence d'Images Maximale","Frequenza Fotogrammi Massima","最大フレームレート","최대 프레임 속도","Taxa Máxima de Quadros","Taxa Máxima de Quadros","Максимальная частота кадров","最大帧率","最大幀率"
"TOOLTIP_MONITOR_DESC","Wählt den Monitor aus, auf dem das Spiel ausgeführt wird.","Selects which monitor the game will run on.","Selects which monitor the game will run on.","Selects which monitor the game will run on.","Selecciona en qué monitor se ejecutará el juego.","","Sélectionne sur quel moniteur le jeu sera exécuté.","Seleziona su quale monitor verrà eseguito il gioco.","ゲームを実行するモニターを選択します。","게임이 실행될 모니터를 선택합니다.","Seleciona em qual monitor o jogo será executado.","Seleciona em qual monitor o jogo será executado.","Выбирает монитор, на котором будет запущена игра.","选择游戏将在哪个显示器上运行。","選擇遊戲將在哪個顯示器上運行。"
"TOOLTIP_MONITOR_TITLE","Monitorauswahl","Monitor Selection","Monitor Selection","Monitor Selection","Selección de Monitor","","Sélection du Moniteur","Selezione Monitor","モニター選択","모니터 선택","Seleção de Monitor","Seleção de Monitor","Выбор монитора","显示器选择","顯示器選擇"
"TOOLTIP_MUSIC_VOLUME_DESC","Steuert die Lautstärke der Spielmusik.","Controls the volume of in-game music.","Controls the volume of in-game music.","Controls the volume of in-game music.","Controla el volumen de la música del juego.","","Contrôle le volume de la musique du jeu.","Controlla il volume della musica del gioco.","ゲーム内の音楽の音量を制御します。","게임 내 음악 볼륨을 제어합니다.","Controla o volume da música do jogo.","Controla o volume da música do jogo.","Контролирует громкость внутриигровой музыки.","控制游戏内音乐音量。","控制遊戲內音樂音量。"
"TOOLTIP_MUSIC_VOLUME_TITLE","Musiklautstärke","Music Volume","Music Volume","Music Volume","Volumen de la Música","","Volume de la Musique","Volume della Musica","音楽ボリューム","음악 볼륨","Volume da Música","Volume da Música","Громкость музыки","音乐音量","音樂音量"
"TOOLTIP_REDUCE_SCREEN_SHAKE_DESC","Reduziert die Intensität der Bildschirmzittereffekte.","Reduces the intensity of screen shake effects.","Reduces the intensity of screen shake effects.","Reduces the intensity of screen shake effects.","Reduce la intensidad de los efectos de temblor de pantalla.","","Réduit l'intensité des effets de tremblement d'écran.","Riduce l'intensità degli effetti di tremolio dello schermo.","画面揺れエフェクトの強度を軽減します。","화면 흔들림 효과의 강도를 줄입니다.","Reduz a intensidade dos efeitos de tremor de tela.","Reduz a intensidade dos efeitos de tremor de ecrã.","Уменьшает интенсивность эффектов дрожания экрана.","减少屏幕抖动效果的强度。","減少螢幕抖動效果的強度。"
"TOOLTIP_REDUCE_SCREEN_SHAKE_TITLE","Bildschirmzittern reduzieren","Reduce Screen Shake","Reduce Screen Shake","Reduce Screen Shake","Reducir Temblores de Pantalla","","Réduire les Tremblements d'Écran","Riduci Tremolio Schermo","画面揺れを軽減","화면 흔들림 감소","Reduzir Tremores de Tela","Reduzir Tremores de Ecrã","Уменьшить дрожание экрана","减少屏幕抖动","減少螢幕抖動"
"TOOLTIP_RENDER_SCALE_DESC","Passt die interne Render-Auflösung manuell an.","Manually adjusts the internal rendering resolution.","Manually adjusts the internal rendering resolution.","Manually adjusts the internal rendering resolution.","Ajusta manualmente la resolución de renderizado interna.","","Ajuste manuellement la résolution de rendu interne.","Regola manualmente la risoluzione di rendering interna.","内部レンダリング解像度を手動で調整します。","내부 렌더링 해상도를 수동으로 조정합니다.","Ajusta manualmente a resolução de renderização interna.","Ajusta manualmente a resolução de renderização interna.","Вручную регулирует внутреннее разрешение рендеринга.","手动调整内部渲染分辨率。","手動調整內部渲染解析度。"
"TOOLTIP_RENDER_SCALE_TITLE","Render-Skalierung","Render Scale","Render Scale","Render Scale","Escala de Renderizado","","Échelle de Rendu","Scala di Rendering","レンダースケール","렌더링 스케일","Escala de Renderização","Escala de Renderização","Масштаб рендеринга","渲染缩放","渲染縮放"
"TOOLTIP_RESOLUTION_DESC","Legt die Bildschirmauflösung des Spiels fest.","Sets the display resolution of the game.","Sets the display resolution of the game.","Sets the display resolution of the game.","Define la resolución de la pantalla del juego.","","Définit la résolution de l'écran du jeu.","Imposta la risoluzione dello schermo del gioco.","ゲームの表示解像度を設定します。","게임의 디스플레이 해상도를 설정합니다.","Define a resolução da tela do jogo.","Define a resolução do ecrã do jogo.","Устанавливает разрешение экрана игры.","设置游戏显示分辨率。","設定遊戲顯示解析度。"
"TOOLTIP_RESOLUTION_TITLE","Auflösung","Resolution","Resolution","Resolution","Resolución","","Résolution","Risoluzione","解像度","해상도","Resolução","Resolução","Разрешение","分辨率","解析度"
"TOOLTIP_SFX_VOLUME_DESC","Steuert die Lautstärke der Soundeffekte.","Controls the volume of sound effects.","Controls the volume of sound effects.","Controls the volume of sound effects.","Controla el volumen de los efectos de sonido.","","Contrôle le volume des effets sonores.","Controlla il volume degli effetti sonori.","効果音の音量を制御します。","음향 효과 볼륨을 제어합니다.","Controla o volume dos efeitos sonoros.","Controla o volume dos efeitos sonoros.","Контролирует громкость звуковых эффектов.","控制音效音量。","控制音效音量。"
"TOOLTIP_SFX_VOLUME_TITLE","Lautstärke der Soundeffekte","Sound Effects Volume","Sound Effects Volume","Sound Effects Volume","Volumen de Efectos de Sonido","","Volume des Effets Sonores","Volume degli Effetti Sonori","効果音ボリューム","음향 효과 볼륨","Volume dos Efeitos Sonoros","Volume dos Efeitos Sonoros","Громкость звуковых эффектов","音效音量","音效音量"
"TOOLTIP_SHADERS_QUALITY_DESC","Definiert die visuelle Qualität der Shader.","Defines the visual quality of shaders.","Defines the visual quality of shaders.","Defines the visual quality of shaders.","Define la calidad visual de los shaders.","","Définit la qualité visuelle des shaders.","Definisce la qualità visiva degli shader.","シェーダーの視覚品質を定義します。","셰이더의 시각적 품질을 정의합니다.","Define a qualidade visual dos shaders.","Define a qualidade visual dos shaders.","Определяет визуальное качество шейдеров.","定义着色器的视觉质量。","定義著色器的視覺品質。"
"TOOLTIP_SHADERS_QUALITY_TITLE","Shader-Qualität","Shaders Quality","Shaders Quality","Shaders Quality","Calidad de Shaders","","Qualité des Shaders","Qualità Shader","シェーダー品質","셰이더 품질","Qualidade dos Shaders","Qualidade dos Shaders","Качество шейдеров","着色器质量","著色器品質"
"TOOLTIP_UI_SCALE_DESC","Passt die Größe der Benutzeroberflächenelemente an.","Adjusts the size of user interface elements.","Adjusts the size of user interface elements.","Adjusts the size of user interface elements.","Ajusta el tamaño de los elementos de la interfaz de usuario.","","Ajuste la taille des éléments de l'interface utilisateur.","Regola la dimensione degli elementi dell'interfaccia utente.","ユーザーインターフェース要素のサイズを調整します。","사용자 인터페이스 요소의 크기를 조정합니다.","Ajusta o tamanho dos elementos da interface do usuário.","Ajusta o tamanho dos elementos da interface do utilizador.","Регулирует размер элементов пользовательского интерфейса.","调整用户界面元素的大小。","調整使用者介面元素的大小。"
"TOOLTIP_UI_SCALE_TITLE","UI-Skalierung","UI Scale","UI Scale","UI Scale","Escala de la UI","","Échelle de l'Interface Utilisateur","Scala UI","UIスケール","UI 스케일","Escala da UI","Escala da UI","Масштаб интерфейса","UI缩放","UI縮放"
"TOOLTIP_UPSCALING_MODE_DESC","Wählt die Upscaling-Technologie (FSR), um die Leistung bei geringerer Renderauflösung zu verbessern.","Selects the upscaling technology (FSR) to improve performance at a lower render resolution.","Selects the upscaling technology (FSR) to improve performance at a lower render resolution.","Selects the upscaling technology (FSR) to improve performance at a lower render resolution.","Selecciona la tecnología de escalado (FSR) para mejorar el rendimiento con una resolución de renderizado menor.","Selecciona la tecnología de escalado (FSR) para mejorar el rendimiento con una resolución de renderizado menor.","Sélectionne la technologie d'upscaling (FSR) pour améliorer les performances à une résolution de rendu inférieure.","Seleziona la tecnologia di upscale (FSR) per migliorare le prestazioni con una risoluzione di rendering inferiore.","アップスケール技術（FSR）を選択し、低い描画解像度でパフォーマンスを向上させます。","낮은 렌더링 해상도에서 성능을 향상시키는 업스케일 기술(FSR)을 선택합니다.","Seleciona a tecnologia de upscale (FSR) para melhorar o desempenho com uma resolução de renderização menor.","Seleciona a tecnologia de upscale (FSR) para melhorar o desempenho com uma resolução de renderização inferior.","Выбирает технологию масштабирования (FSR) для повышения производительности при более низком разрешении рендеринга.","选择升频技术（FSR），以在较低渲染分辨率下提升性能。","選擇升頻技術（FSR），以在較低渲染解析度下提升效能。"
"TOOLTIP_UPSCALING_QUALITY_DESC","Legt fest, wie stark die Renderauflösung im Verhältnis zur Ausgabeauflösung reduziert wird.","Sets how much the render resolution is reduced relative to the output resolution.","Sets how much the render resolution is reduced relative to the output resolution.","Sets how much the render resolution is reduced relative to the output resolution.","Establece en cuánto se reduce la resolución de renderizado en relación con la resolución de salida.","Establece en cuánto se reduce la resolución de renderizado en relación con la resolución de salida.","Définit la réduction de la résolution de rendu par rapport à la résolution de sortie.","Imposta di quanto viene ridotta la risoluzione di rendering rispetto alla risoluzione di uscita.","出力解像度に対して描画解像度をどの程度下げるかを設定します。","출력 해상도 대비 렌더링 해상도를 얼마나 낮출지 설정합니다.","Define o quanto a resolução de renderização é reduzida em relação à resolução de saída.","Define o quanto a resolução de renderização é reduzida em relação à resolução de saída.","Определяет, насколько снижается разрешение рендеринга относительно выходного разрешения.","设置渲染分辨率相对于输出分辨率的降低程度。","設定渲染解析度相對於輸出解析度的降低程度。"
"TOOLTIP_VSYNC_MODE_DESC","Synchronisiert die Bilder mit der Bildwiederholfrequenz Ihres Monitors, um 'Screen Tearing' zu vermeiden.","Synchronises frames with your monitor's refresh rate to prevent 'screen tearing'.","Synchronizes frames with your monitor's refresh rate to prevent 'screen tearing'.","Synchronizes frames with your monitor's refresh rate to prevent 'screen tearing'.","Sincroniza los cuadros con la tasa de actualización de tu monitor para evitar 'screen tearing'.","","Synchronise les images avec le taux de rafraîchissement de votre moniteur pour éviter le 'déchirement d'écran'.","Sincronizza i fotogrammi con la frequenza di aggiornamento del monitor per evitare lo 'screen tearing'.","モニターのリフレッシュレートとフレームを同期させ、'スクリーンティアリング'を防ぎます。","'스크린 티어링'을 방지하기 위해 모니터의 재생률과 프레임을 동기화합니다.","Sincroniza os quadros com a taxa de atualização do seu monitor para evitar 'screen tearing'.","Sincroniza os quadros com a taxa de atualização do seu monitor para evitar 'screen tearing'.","Синхронизирует кадры с частотой обновления вашего монитора, чтобы предотвратить 'разрывы экрана'.","将帧与显示器刷新率同步，以防止'屏幕撕裂'。","將幀與顯示器刷新率同步，以防止'螢幕撕裂'。"
"TOOLTIP_VSYNC_MODE_TITLE","VSync-Modus","VSync Mode","VSync Mode","VSync Mode","Modo VSync","","Mode VSync","Modalità VSync","VSyncモード","VSync 모드","Modo VSync","Modo VSync","Режим VSync","垂直同步模式","垂直同步模式"
"TOOLTIP_WINDOW_MODE_DESC","Ändert die Anzeige des Spielfensters (Fenster, Vollbild, Randlos).","Changes how the game window is displayed (Windowed, Fullscreen, Borderless).","Changes how the game window is displayed (Windowed, Fullscreen, Borderless).","Changes how the game window is displayed (Windowed, Fullscreen, Borderless).","Cambia cómo se muestra la ventana del juego (Ventana, Pantalla Completa, Sin Bordes).","","Modifie l'affichage de la fenêtre du jeu (Fenêtré, Plein Écran, Sans Bordure).","Modifica la visualizzazione della finestra di gioco (Finestra, Schermo Intero, Senza Bordi).","ゲームウィンドウの表示方法を変更します（ウィンドウ、フルスクリーン、ボーダーレス）。","게임 창이 표시되는 방식을 변경합니다 (창 모드, 전체 화면, 테두리 없는 창).","Altera como a janela do jogo é exibida (Janela, Tela Cheia, Sem Bordas).","Altera como a janela do jogo é exibida (Janela, Ecrã Inteiro, Sem Margens).","Изменяет способ отображения окна игры (в окне, полноэкранный, без рамки).","更改游戏窗口的显示方式（窗口化、全屏、无边框）。","更改遊戲視窗的顯示方式（視窗化、全螢幕、無邊框）。"
"TOOLTIP_WINDOW_MODE_TITLE","Fenstermodus","Window Mode","Window Mode","Window Mode","Modo de Ventana","","Mode Fenêtre","Modalità Finestra","ウィンドウモード","창 모드","Modo de Janela","Modo de Janela","Режим окна","窗口模式","視窗模式"
"UI_AMMO","Munition","Ammo","Ammo","Ammo","Munición","Munición","Munitions","Munizioni","弾薬","탄약","Munição","Munição","Боеприпасы","弹药","彈藥"
"UI_APPLY","Anwenden","Apply","Apply","Apply","Aplicar","Aplicar","Appliquer","Applica","適用","적용","Aplicar","Aplicar","Применить","应用","應用"
"UI_ASPECT_EXPAND","Erweitern","Expand","Expand","Expand","Expandir","Expandir","Étendre","Espandi","拡大","확장","Expandir","Expandir","Расширить","扩展","擴展"
"UI_ASPECT_FREE","Frei","Free","Free","Free","Libre","Libre","Libre","Libero","自由","자유","Livre","Livre","Свободный","自由","自由"
"UI_ASPECT_KEEP","Seitenverhältnis beibehalten","Keep Aspect","Keep Aspect","Keep Aspect","Mantener Relación de Aspecto","Mantener Relación de Aspecto","Conserver le Ratio","Mantieni Proporzioni","アスペクト比を維持","화면 비율 유지","Manter Proporção","Manter Proporção","Сохранить соотношение сторон","保持宽高比","保持長寬比"
"UI_ASPECT_KEEP_HEIGHT","Höhe beibehalten","Keep Height","Keep Height","Keep Height","Mantener Alto","Mantener Alto","Conserver la Hauteur","Mantieni Altezza","高さを維持","높이 유지","Manter Altura","Manter Altura","Сохранить высоту","保持高度","保持高度"
"UI_ASPECT_KEEP_WIDTH","Breite beibehalten","Keep Width","Keep Width","Keep Width","Mantener Ancho","Mantener Ancho","Conserver la Largeur","Mantieni Larghezza","幅を維持","너비 유지","Manter Largura","Manter Largura","Сохранить ширину","保持宽度","保持寬度"
"UI_ASPECT_RATIO","Seitenverhältnis","Aspect Ratio","Aspect Ratio","Aspect Ratio","Relación de Aspecto","Relación de Aspecto","Ratio d'Aspect","Proporzioni dello Schermo","アスペクト比","화면 비율","Proporção da Tela","Proporção do Ecrã","Соотношение сторон","宽高比","長寬比"
"UI_AUDIO","Audio","Audio","Audio","Audio","Audio","Audio","Audio","Audio","オーディオ","오디오","Áudio","Áudio","Аудио","音频","音訊"
"UI_AUDIO_OPTIONS","Audio-Optionen","Audio Options","Audio Options","Audio Options","Opciones de Audio","Opciones de Audio","Options Audio","Opzioni Audio","オーディオオプション","오디오 옵션","Opções de Áudio","Opções de Áudio","Настройки аудио","音频选项","音訊選項"
"UI_BACK","Zurück","Back","Back","Back","Volver","Volver","Retour","Indietro","戻る","뒤로","Voltar","Voltar","Назад","返回","返回"
"UI_BRIGHTNESS","Helligkeit","Brightness","Brightness","Brightness","Brillo","Brillo","Luminosité","Luminosità","明るさ","밝기","Brilho","Brilho","Яркость","亮度","亮度"
"UI_CHANGE_GAME","Spiel wechseln","Change Game","Change Game","Change Game","Cambiar Juego","Cambiar Juego","Changer de Jeu","Cambia Gioco","ゲームを変更","게임 변경","Trocar de Jogo","Mudar de Jogo","Сменить игру","更换游戏","更換遊戲"
"UI_COLORBLIND_DEUTERANOPIA","Deuteranopie","Deuteranopia","Deuteranopia","Deuteranopia","Deuteranopia","Deuteranopia","Deutéranopie","Deuteranopia","第二色覚異常","녹색맹","Deuteranopia","Deuteranopia","Дейтеранопия","绿色盲","綠色盲"
"UI_COLORBLIND_NONE","Keine","None","None","None","Ninguno","Ninguno","Aucun","Nessuno","なし","없음","Nenhum","Nenhum","Нет","无","無"
"UI_COLORBLIND_OFF","Aus","Off","Off","Off","Apagado","Apagado","Désactivé","Spento","オフ","끄기","Desligado","Desligado","Выкл.","关闭","關閉"
"UI_COLORBLIND_PROTANOPIA","Protanopie","Protanopia","Protanopia","Protanopia","Protanopia","Protanopia","Protanopie","Protanopia","第一色覚異常","적색맹","Protanopia","Protanopia","Протанопия","红色盲","紅色盲"
"UI_COLORBLIND_TRITANOPIA","Tritanopie","Tritanopia","Tritanopia","Tritanopia","Tritanopia","Tritanopia","Tritanopie","Tritanopia","第三色覚異常","청색맹","Tritanopia","Tritanopia","Тританопия","蓝色盲","藍色盲"
"UI_CONTRAST","Kontrast","Contrast","Contrast","Contrast","Contraste","Contraste","Contraste","Contrasto","コントラスト","대비","Contraste","Contraste","Контраст","对比度","對比度"
"UI_DRS_CUSTOM","Benutzerdefiniert","Custom","Custom","Custom","Personalizado","Personalizado","Personnalisé","Personalizzato","カスタム","사용자 지정","Personalizado","Personalizado","Пользовательский","自定义","自訂"
"UI_DRS_OFF","Aus","Off","Off","Off","Apagado","Apagado","Désactivé","Spento","オフ","끄기","Desligado","Desligado","Выкл.","关闭","關閉"
"UI_DYNAMIC_RENDER_FSR1","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0"
"UI_DYNAMIC_RENDER_FSR2","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0"
"UI_DYNAMIC_RENDER_NONE","Keine","None","None","None","Ninguno","Ninguno","Aucun","Nessuno","なし","없음","Nenhum","Nenhum","Нет","无","無"
"UI_EXIT","Beenden","Exit","Exit","Exit","Salir","Salir","Quitter","Esci","終了","종료","Sair","Sair","Выход","退出","退出"
"UI_FPS_CUSTOM","Benutzerdefiniert","Custom","Custom","Custom","Personalizado","Personalizado","Personnalisé","Personalizzato","カスタム","사용자 지정","Personalizado","Personalizado","Пользовательский","自定义","自訂"
"UI_FRAME_RATE_ADAPTIVE_VSYNC","Adaptives VSync","Adaptive VSync","Adaptive VSync","Adaptive VSync","VSync Adaptativo","VSync Adaptativo","VSync Adaptative","VSync Adattivo","アダプティブVSync","적응형 VSync","VSync Adaptativo","VSync Adaptativo","Адаптивный VSync","自适应垂直同步","自適應垂直同步"
"UI_FRAME_RATE_CUSTOM","Benutzerdefiniert","Custom","Custom","Custom","Personalizado","Personalizado","Personnalisé","Personalizzato","カスタム","사용자 지정","Personalizado","Personalizado","Пользовательский","自定义","自訂"
"UI_FRAME_RATE_LIMIT","FPS-Limit","FPS Limit","FPS Limit","FPS Limit","Límite de FPS","Límite de FPS","Limite de FPS","Limite FPS","FPS制限","FPS 제한","Limite de FPS","Limite de FPS","Лимит FPS","帧率限制","幀率限制"
"UI_FRAME_RATE_NO_LIMIT","Keine Begrenzung","No Limit","No Limit","No Limit","Sin Límite","Sin Límite","Pas de Limite","Nessun Limite","制限なし","제한 없음","Sem Limite","Sem Limite","Без ограничений","无限制","無限制"
"UI_FRAME_RATE_VSYNC","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","垂直同步","垂直同步"
